"participantId";"current_time";"retake";"gender";"education";"multinational";"country0";"country1";"country2";"country3";"country4";"country5";"age";"programmingExperience";"pythonBefore";"pythonTutorBefore";"readUnderstandInstructions"
3431;"09:20:53";0;0;"PhD";1;"India";"United States";"";"";"";"";22;"1yr";1;"6+";"read, understood"
3441;"09:20:53";0;0;"high school";0;"United Kingdom";"";"";"";"";"";17;"1yr";1;"6+";"not read, understood"
3444;"09:20:53";0;0;"high school";0;"United Kingdom";"";"";"";"";"";17;"1yr";1;"6+";"not read, understood"
3452;"09:20:53";0;0;"high school";1;"India";"";"";"";"";"";16;"1yr";1;"1-2";"read, understood"
3454;"09:20:53";0;1;"graduate school";1;"China";"";"";"";"";"";23;"none";0;"";""
3459;"09:20:53";0;0;"high school";0;"Russian Federation";"";"";"";"";"";31;"3m";0;"";""
3460;"09:20:53";0;0;"professional school";0;"United States";"";"";"";"";"";45;"6m";1;"6+";"read, understood"
3463;"09:20:53";0;0;"high school";0;"Russian Federation";"";"";"";"";"";31;"none";0;"0";"read, understood"
3474;"09:20:53";0;0;"graduate school";0;"United States";"";"";"";"";"";32;"6m";1;"3-5";"read, understood"
3476;"09:20:53";0;1;"graduate school";1;"China";"Germany";"United States";"";"";"";25;"6m";1;"6+";"read, understood"
3477;"09:20:53";0;0;"college";0;"Viet Nam";"";"";"";"";"";28;"none";0;"";""
3481;"09:20:53";0;1;"high school";0;"Brazil";"";"";"";"";"";19;"3m";0;"0";"read, understood"
3505;"09:20:53";0;0;"PhD";1;"Republic of Korea";"";"";"";"";"";41;"3m";0;"3-5";"read, understood"
3517;"09:20:53";0;1;"college";0;"Bangladesh";"";"";"";"";"";21;"6m";1;"6+";"not read, understood"
3519;"09:20:53";0;0;"college";0;"China";"";"";"";"";"";21;"6m";1;"1-2";"read, understood"
3520;"09:20:53";0;0;"graduate school";1;"Viet Nam";"France";"";"";"";"";22;"1yr";1;"0";"read, understood"
3535;"09:20:53";0;0;"graduate school";0;"Nigeria";"";"";"";"";"";26;"6m";0;"";""
3540;"09:20:53";0;0;"college";0;"Dominican Republic";"";"";"";"";"";22;"more";1;"1-2";"read, understood"
3544;"09:20:53";0;1;"high school";0;"India";"";"";"";"";"";15;"none";1;"1-2";"read, understood"
3548;"09:20:53";0;0;"high school";0;"Brazil";"";"";"";"";"";19;"3m";1;"6+";"read, understood"
3549;"09:20:53";0;0;"high school";0;"Brazil";"";"";"";"";"";19;"3m";1;"6+";"read, understood"
3551;"09:20:53";0;0;"high school";0;"Brazil";"";"";"";"";"";19;"3m";1;"6+";"read, understood"
3555;"09:20:53";0;0;"college";1;"China";"Republic of Korea";"United States";"";"";"";26;"6m";1;"6+";"read, understood"
3559;"09:20:53";0;0;"high school";1;"Viet Nam";"China";"Singapore";"";"";"";17;"3m";1;"6+";"not read, understood"
3561;"09:20:53";0;0;"high school";0;"India";"";"";"";"";"";17;"3m";1;"6+";"not read, understood"
3577;"09:20:53";0;0;"college";0;"Brazil";"";"";"";"";"";43;"3m";0;"3-5";"read, understood"
3583;"09:20:53";0;0;"high school";0;"Bangladesh";"";"";"";"";"";19;"6m";1;"0";"read, understood"
3591;"09:20:53";0;0;"college";1;"France";"Belgium";"";"";"";"";18;"6m";1;"6+";"not read, understood"
3592;"09:20:53";0;0;"high school";1;"Ethiopia";"";"";"";"";"";30;"none";1;"6+";"read, understood"
3593;"09:20:53";0;0;"professional school";1;"India";"Australia";"Republic of Korea";"United Arab Emirates";"";"";36;"none";0;"1-2";"read, understood"
3595;"09:20:53";0;0;"PhD";1;"Germany";"";"";"";"";"";32;"more";1;"0";"read, understood"
3596;"09:20:53";0;0;"graduate school";0;"Sri Lanka";"";"";"";"";"";20;"3m";0;"6+";"read, understood"
3606;"09:20:53";0;0;"college";1;"Taiwan";"";"";"";"";"";24;"6m";1;"6+";"read, understood"
3610;"09:20:53";1;0;"graduate school";1;"Albania";"";"";"";"";"";23;"6m";1;"";""
3611;"09:20:53";0;0;"professional school";0;"Uruguay";"";"";"";"";"";52;"more";1;"0";"read, understood"
3617;"09:20:53";0;0;"graduate school";1;"Georgia";"";"";"";"";"";31;"1yr";1;"6+";"read, understood"
3628;"09:20:53";0;0;"college";0;"Andorra";"";"";"";"";"";43;"3m";1;"0";"read, understood"
3635;"09:20:53";0;0;"PhD";1;"United States";"";"";"";"";"";44;"3m";1;"0";"read, understood"
3636;"09:20:53";0;0;"PhD";0;"Belarus";"";"";"";"";"";30;"3m";0;"6+";"read, understood"
3639;"09:20:53";0;0;"college";0;"United States";"";"";"";"";"";21;"6m";1;"";""
3645;"09:20:53";0;0;"college";0;"United States";"";"";"";"";"";21;"more";1;"1-2";"read, understood"
3648;"09:20:53";0;0;"college";0;"United States";"";"";"";"";"";61;"6m";0;"6+";"read, understood"
3663;"09:20:53";0;1;"college";1;"Taiwan";"";"";"";"";"";22;"3m";1;"6+";"read, understood"
3666;"09:20:53";0;1;"high school";0;"Viet Nam";"";"";"";"";"";23;"more";1;"1-2";"read, understood"
3668;"09:20:53";0;0;"college";0;"India";"";"";"";"";"";19;"3m";0;"0";"read, understood"
3670;"09:20:53";0;0;"graduate school";1;"India";"United States";"";"";"";"";26;"more";1;"0";"read, understood"
3674;"09:20:53";0;0;"college";0;"China";"";"";"";"";"";27;"more";1;"";""
3675;"09:20:53";1;0;"graduate school";0;"India";"";"";"";"";"";24;"none";1;"0";"read, understood"
3676;"09:20:53";0;0;"high school";0;"Singapore";"";"";"";"";"";21;"1yr";1;"0";"read, understood"
3678;"09:20:53";0;0;"high school";0;"Singapore";"";"";"";"";"";21;"1yr";1;"0";"read, understood"
3679;"09:20:53";0;0;"high school";0;"Aland Islands";"";"";"";"";"";34;"3m";1;"";""
3689;"09:20:53";0;0;"college";1;"United States";"Japan";"";"";"";"";18;"3m";1;"6+";"not read, understood"
3697;"09:20:53";0;1;"high school";0;"Spain";"";"";"";"";"";14;"1yr";1;"6+";"read, understood"
3700;"09:20:53";0;1;"high school";0;"Spain";"";"";"";"";"";14;"1yr";1;"6+";"read, understood"
3702;"09:20:53";0;0;"graduate school";1;"India";"Germany";"";"";"";"";31;"3m";0;"6+";"read, understood"
3705;"09:20:53";0;0;"college";0;"South Africa";"";"";"";"";"";24;"1yr";0;"0";"read, understood"
3707;"09:20:53";0;0;"graduate school";0;"United Kingdom";"";"";"";"";"";60;"1yr";1;"";""
3710;"09:20:53";0;0;"professional school";0;"India";"";"";"";"";"";33;"none";0;"1-2";"read, understood"
3712;"09:20:53";0;0;"graduate school";0;"India";"";"";"";"";"";23;"3m";1;"6+";"read, understood"
3716;"09:20:53";0;0;"professional school";1;"United Kingdom";"";"";"";"";"";39;"1yr";1;"";""
3723;"09:20:53";0;0;"college";0;"China";"";"";"";"";"";22;"none";1;"";""
3728;"09:20:53";0;0;"graduate school";0;"India";"";"";"";"";"";21;"more";1;"1-2";"read, understood"
3730;"09:20:53";0;0;"college";0;"Republic of Korea";"";"";"";"";"";24;"3m";1;"";""
3733;"09:20:53";0;0;"graduate school";0;"Russian Federation";"";"";"";"";"";40;"6m";0;"6+";"not read, understood"
3738;"09:20:53";0;0;"pre-high school";1;"Uzbekistan";"Belgium";"";"";"";"";19;"6m";1;"6+";"read, understood"
3742;"09:20:53";1;0;"college";0;"United States";"";"";"";"";"";19;"1yr";1;"6+";"read, understood"
3748;"09:20:53";0;0;"graduate school";1;"India";"United States";"";"";"";"";29;"more";1;"";""
3749;"09:20:53";1;0;"graduate school";0;"India";"";"";"";"";"";21;"more";0;"3-5";"not read, understood"
3751;"09:20:53";0;0;"graduate school";0;"Azerbaijan";"";"";"";"";"";20;"none";1;"1-2";"read, understood"
3756;"09:20:53";0;1;"graduate school";0;"United States";"";"";"";"";"";35;"6m";1;"6+";"not read, understood"
3760;"09:20:53";0;0;"college";1;"Canada";"";"";"";"";"";21;"1yr";1;"";""
3766;"09:20:53";0;0;"pre-high school";0;"Japan";"";"";"";"";"";15;"6m";1;"0";"not read, understood"
3767;"09:20:53";0;0;"college";0;"United States";"";"";"";"";"";23;"none";1;"";""
3770;"09:20:53";0;1;"PhD";1;"China";"United Kingdom";"";"";"";"";23;"none";1;"0";"read, understood"
3772;"09:20:53";0;0;"professional school";0;"United Kingdom";"";"";"";"";"";40;"3m";1;"6+";"read, understood"
3773;"09:20:53";0;0;"graduate school";0;"India";"";"";"";"";"";21;"1yr";1;"6+";"read, understood"
3789;"09:20:53";0;0;"graduate school";1;"India";"United States";"";"";"";"";35;"1yr";1;"6+";"read, understood"
3790;"09:20:53";0;0;"graduate school";1;"India";"United States";"";"";"";"";37;"1yr";1;"6+";"read, understood"
3801;"09:20:53";0;0;"professional school";1;"Cameroon";"Canada";"";"";"";"";35;"none";0;"3-5";"read, understood"
3804;"09:20:53";0;1;"graduate school";0;"United States";"";"";"";"";"";35;"more";0;"0";"read, understood"
3806;"09:20:53";0;0;"high school";1;"Colombia";"Australia";"";"";"";"";12;"6m";1;"6+";"not read, understood"
3809;"09:20:53";0;0;"high school";0;"Russian Federation";"";"";"";"";"";17;"3m";0;"";""
3811;"09:20:53";0;0;"high school";0;"Russian Federation";"";"";"";"";"";17;"3m";1;"6+";"read, understood"
3812;"09:20:53";0;1;"college";1;"Russian Federation";"";"";"";"";"";24;"6m";1;"6+";"read, understood"
3813;"09:20:53";0;1;"PhD";0;"India";"";"";"";"";"";30;"3m";1;"6+";"read, understood"
3815;"09:20:53";0;1;"college";1;"Argentina";"";"";"";"";"";24;"1yr";1;"1-2";"read, understood"
3816;"09:20:53";0;1;"PhD";0;"India";"";"";"";"";"";33;"3m";0;"6+";"read, understood"
3820;"09:20:53";0;0;"college";0;"India";"";"";"";"";"";19;"3m";1;"1-2";"read, understood"
3822;"09:20:53";1;1;"professional school";1;"Iceland";"";"";"";"";"";99;"1yr";1;"1-2";"read, understood"
3826;"09:20:53";0;0;"graduate school";0;"China";"";"";"";"";"";30;"1yr";1;"1-2";"read, understood"
3833;"09:20:53";0;1;"high school";1;"Indonesia";"";"";"";"";"";20;"3m";1;"6+";"read, understood"
3843;"09:20:53";0;0;"high school";1;"China";"United States";"";"";"";"";17;"3m";1;"6+";"read, understood"
3847;"09:20:53";0;0;"college";0;"Serbia";"";"";"";"";"";31;"6m";0;"6+";"not read, understood"
3853;"09:20:53";0;0;"professional school";1;"India";"Sweden";"United Kingdom";"";"";"";13;"6m";1;"1-2";"not read, understood"
3857;"09:20:53";0;0;"high school";0;"United Kingdom";"";"";"";"";"";23;"6m";0;"6+";"not read, understood"
3858;"09:20:53";0;0;"professional school";1;"India";"Sweden";"United Kingdom";"";"";"";13;"none";1;"3-5";"read, understood"
3859;"09:20:53";0;0;"professional school";1;"Uzbekistan";"Belgium";"Spain";"";"";"";26;"6m";0;"6+";"read, understood"
3863;"09:20:53";0;0;"college";0;"India";"";"";"";"";"";25;"none";0;"0";"read, understood"
3864;"09:20:53";0;0;"professional school";0;"Poland";"";"";"";"";"";31;"3m";1;"6+";"read, understood"
3865;"09:20:53";0;0;"graduate school";1;"Australia";"";"";"";"";"";57;"6m";1;"1-2";"read, understood"
3870;"09:20:53";0;0;"PhD";0;"Azerbaijan";"";"";"";"";"";6;"3m";1;"1-2";"not read, understood"
3876;"09:20:53";0;0;"high school";0;"Sweden";"";"";"";"";"";13;"more";1;"3-5";"read, understood"
3884;"09:20:53";0;1;"PhD";1;"Argentina";"Haiti";"";"";"";"";51;"3m";0;"0";"read, understood"
3887;"09:20:53";1;0;"high school";0;"India";"";"";"";"";"";20;"6m";1;"";""
3888;"09:20:53";0;0;"college";0;"United Kingdom";"";"";"";"";"";20;"6m";1;"0";"read, understood"
3892;"09:20:53";0;0;"pre-high school";0;"United States";"";"";"";"";"";13;"1yr";1;"";""
3896;"09:20:53";0;0;"high school";0;"Slovakia";"";"";"";"";"";17;"more";1;"6+";"not read, understood"
3898;"09:20:53";0;0;"college";0;"United States";"";"";"";"";"";18;"6m";0;"0";"read, understood"
3903;"09:20:53";0;0;"high school";0;"Slovakia";"";"";"";"";"";17;"more";1;"6+";"not read, understood"
3904;"09:20:53";0;0;"college";0;"United States";"";"";"";"";"";18;"6m";0;"0";"read, understood"
3906;"09:20:53";0;0;"college";0;"United States";"";"";"";"";"";20;"6m";0;"0";"read, understood"
3907;"09:20:53";0;0;"graduate school";0;"Brazil";"";"";"";"";"";32;"3m";0;"";""
3916;"09:20:53";0;0;"graduate school";0;"United Kingdom";"";"";"";"";"";50;"more";0;"";""
3926;"09:20:53";0;0;"professional school";0;"Australia";"";"";"";"";"";16;"3m";1;"1-2";"read, understood"
3933;"09:20:53";0;1;"graduate school";0;"China";"";"";"";"";"";27;"1yr";1;"6+";"read, understood"
3936;"09:20:53";0;0;"college";0;"United States";"";"";"";"";"";32;"none";1;"";""
3937;"09:20:53";0;0;"graduate school";1;"China";"Australia";"";"";"";"";31;"1yr";1;"3-5";"read, understood"
3943;"09:20:53";0;0;"professional school";0;"Algeria";"";"";"";"";"";26;"more";0;"0";"read, understood"
3945;"09:20:53";0;0;"high school";0;"Australia";"";"";"";"";"";16;"none";0;"";""
3950;"09:20:53";0;1;"graduate school";1;"China";"Canada";"";"";"";"";36;"none";0;"";""
3959;"09:20:53";0;0;"college";0;"India";"";"";"";"";"";20;"none";0;"";""
3961;"09:20:53";0;0;"college";1;"China";"";"";"";"";"";35;"more";1;"";""
3962;"09:20:53";0;0;"graduate school";1;"China";"";"";"";"";"";25;"3m";1;"";""
3967;"09:20:53";0;0;"graduate school";0;"India";"";"";"";"";"";25;"more";1;"6+";"read, understood"
3970;"09:20:53";0;0;"college";1;"Republic of Korea";"";"";"";"";"";26;"none";1;"6+";"read, understood"
3973;"09:20:53";0;0;"high school";0;"Russian Federation";"";"";"";"";"";14;"3m";1;"6+";"not read, understood"
3974;"09:20:53";0;0;"PhD";0;"Ukraine";"";"";"";"";"";29;"more";1;"";""
3975;"09:20:53";0;0;"high school";0;"Russian Federation";"";"";"";"";"";14;"3m";1;"";""
3979;"09:20:53";0;0;"high school";0;"Japan";"";"";"";"";"";38;"1yr";1;"";""
3980;"09:20:53";0;0;"high school";0;"Japan";"";"";"";"";"";38;"3m";1;"6+";"read, understood"
3982;"09:20:53";0;0;"college";0;"India";"";"";"";"";"";21;"3m";1;"1-2";"read, understood"
3987;"09:20:53";0;0;"college";0;"Malaysia";"";"";"";"";"";23;"3m";1;"";""
3997;"09:20:53";0;0;"high school";0;"Indonesia";"";"";"";"";"";35;"none";0;"3-5";"read, understood"
4002;"09:20:53";0;0;"graduate school";0;"India";"";"";"";"";"";33;"1yr";1;"";""
4007;"09:20:53";0;0;"PhD";0;"France";"";"";"";"";"";33;"more";0;"1-2";"read, understood"
4009;"09:20:53";0;0;"graduate school";0;"India";"";"";"";"";"";23;"none";0;"0";"read, not understood"
4010;"09:20:53";0;0;"postdoctoral";0;"France";"";"";"";"";"";33;"more";0;"1-2";"read, understood"
4013;"09:20:53";0;0;"PhD";0;"France";"";"";"";"";"";33;"more";0;"1-2";"read, understood"
4015;"09:20:53";0;0;"professional school";1;"India";"United Kingdom";"";"";"";"";35;"none";0;"3-5";"read, understood"
4018;"09:20:53";0;0;"high school";0;"Brazil";"";"";"";"";"";18;"3m";0;"6+";"read, understood"
4019;"09:20:53";0;1;"graduate school";0;"India";"";"";"";"";"";23;"none";1;"1-2";"read, understood"
4030;"09:20:53";0;0;"college";0;"Canada";"";"";"";"";"";19;"6m";1;"";""
4035;"09:20:53";0;0;"graduate school";0;"United States";"";"";"";"";"";35;"1yr";0;"1-2";"read, understood"
4039;"09:20:53";0;0;"college";1;"United States";"China";"Japan";"";"";"";27;"1yr";1;"6+";"read, understood"
4040;"09:20:53";0;1;"professional school";1;"United States";"";"";"";"";"";32;"none";0;"";""
4042;"09:20:53";0;2;"college";0;"Austria";"";"";"";"";"";6;"3m";0;"0";"read, understood"
4045;"09:20:53";1;0;"graduate school";1;"Algeria";"";"";"";"";"";66;"3m";0;"0";"read, understood"
4047;"09:20:53";0;0;"graduate school";1;"Viet Nam";"United States";"";"";"";"";30;"more";0;"0";"read, understood"
4049;"09:20:53";0;0;"college";0;"India";"";"";"";"";"";18;"1yr";1;"6+";"read, understood"
4058;"09:20:53";0;0;"high school";0;"United Kingdom";"";"";"";"";"";13;"6m";0;"";""
4060;"09:20:53";0;0;"high school";0;"Nigeria";"";"";"";"";"";14;"none";0;"0";"read, understood"
4065;"09:20:53";1;0;"high school";0;"Nigeria";"";"";"";"";"";15;"none";0;"1-2";"read, not understood"
4077;"09:20:53";0;0;"graduate school";1;"Turkey";"Canada";"";"";"";"";26;"none";0;"3-5";"read, understood"
4078;"09:20:53";0;0;"college";0;"United States";"";"";"";"";"";22;"1yr";1;"1-2";"read, understood"
4079;"09:20:53";0;0;"graduate school";1;"Australia";"New Zealand";"";"";"";"";25;"none";0;"1-2";"not read, understood"
4116;"09:20:53";0;0;"graduate school";0;"Canada";"";"";"";"";"";20;"3m";1;"3-5";"read, understood"
4119;"09:20:53";0;0;"professional school";0;"United States";"";"";"";"";"";24;"more";1;"6+";"read, understood"
4133;"09:20:53";0;0;"college";0;"India";"";"";"";"";"";23;"3m";1;"1-2";"read, understood"
4134;"09:20:53";0;0;"graduate school";0;"France";"";"";"";"";"";34;"6m";0;"";""
4135;"09:20:53";0;0;"graduate school";1;"India";"United States";"";"";"";"";34;"more";1;"6+";"read, understood"
4139;"09:20:53";0;0;"college";0;"India";"";"";"";"";"";34;"3m";0;"";""
4140;"09:20:53";0;1;"graduate school";0;"India";"";"";"";"";"";21;"none";1;"0";"read, understood"
4156;"09:20:53";1;1;"high school";0;"United Kingdom";"";"";"";"";"";15;"none";1;"";""
4160;"09:20:53";0;0;"graduate school";0;"India";"";"";"";"";"";26;"3m";1;"1-2";"read, understood"
4162;"09:20:53";0;0;"graduate school";0;"United States";"";"";"";"";"";26;"6m";1;"";""
4165;"09:20:53";0;1;"college";0;"United States";"";"";"";"";"";19;"3m";1;"6+";"not read, understood"
4166;"09:20:53";0;0;"graduate school";1;"Macedonia";"";"";"";"";"";27;"none";0;"3-5";"read, understood"
4171;"09:20:53";0;0;"graduate school";0;"India";"";"";"";"";"";29;"1yr";1;"0";"read, understood"
4175;"09:20:53";1;1;"college";0;"United States";"";"";"";"";"";19;"3m";1;"";""
4180;"09:20:53";0;0;"graduate school";1;"Denmark";"United Kingdom";"United States";"Australia";"United States";"Denmark";22;"more";1;"0";"read, understood"
4181;"09:20:53";0;0;"college";0;"Thailand";"";"";"";"";"";19;"none";0;"";""
4182;"09:20:53";0;0;"college";0;"Croatia";"";"";"";"";"";26;"6m";1;"3-5";"not read, not understood"
4184;"09:20:53";0;1;"high school";0;"Afghanistan";"";"";"";"";"";55;"none";0;"1-2";"read, understood"
4185;"09:20:53";0;1;"high school";0;"American Samoa";"";"";"";"";"";26;"none";0;"0";"read, understood"
4186;"09:20:53";0;0;"PhD";0;"United States";"";"";"";"";"";23;"1yr";1;"0";"read, understood"
4188;"09:20:53";0;1;"high school";1;"Albania";"";"";"";"";"";99;"6m";1;"6+";"not read, not understood"
4189;"09:20:53";0;0;"graduate school";0;"United States";"";"";"";"";"";53;"more";1;"1-2";"read, understood"
4190;"09:20:53";0;0;"graduate school";0;"India";"";"";"";"";"";24;"more";1;"";""
4191;"09:20:53";0;0;"college";1;"Turkey";"United States";"Canada";"";"";"";20;"more";1;"0";"not read, not understood"
4194;"09:20:53";0;0;"high school";0;"Denmark";"";"";"";"";"";35;"none";1;"0";"read, understood"
4196;"09:20:53";0;0;"PhD";0;"Germany";"";"";"";"";"";53;"more";0;"6+";"read, understood"
4208;"09:20:53";0;0;"graduate school";0;"Australia";"";"";"";"";"";18;"none";0;"";""
4217;"09:20:53";0;0;"professional school";0;"Canada";"";"";"";"";"";35;"6m";1;"0";"read, understood"
4218;"09:20:53";0;0;"college";0;"United States";"";"";"";"";"";43;"1yr";0;"";""
4221;"09:20:53";0;0;"PhD";0;"United States";"";"";"";"";"";16;"none";1;"";""
4222;"09:20:53";0;1;"college";0;"Singapore";"";"";"";"";"";20;"3m";1;"6+";"read, understood"
4228;"09:20:53";0;1;"college";1;"Russian Federation";"United Kingdom";"United States";"";"";"";35;"none";1;"1-2";"read, understood"
4229;"09:20:53";0;0;"college";1;"India";"Saudi Arabia";"Australia";"";"";"";18;"3m";0;"1-2";"read, understood"
4232;"09:20:53";0;2;"graduate school";0;"United States";"";"";"";"";"";21;"more";1;"";""
4233;"09:20:53";0;1;"professional school";0;"Poland";"";"";"";"";"";34;"3m";0;"3-5";"read, understood"
4236;"09:20:53";0;1;"college";0;"India";"";"";"";"";"";19;"6m";0;"0";"read, understood"
4238;"09:20:53";0;0;"pre-high school";0;"Canada";"";"";"";"";"";26;"none";1;"3-5";"read, understood"
4241;"09:20:53";0;0;"college";0;"India";"";"";"";"";"";23;"3m";0;"3-5";"read, understood"
4248;"09:20:53";0;0;"graduate school";0;"India";"";"";"";"";"";28;"3m";0;"1-2";"read, understood"
4249;"09:20:53";0;0;"graduate school";0;"India";"";"";"";"";"";19;"1yr";1;"6+";"read, understood"
4253;"09:20:53";0;1;"PhD";0;"China";"";"";"";"";"";22;"6m";0;"0";"read, not understood"
4265;"09:20:53";0;1;"professional school";0;"China";"";"";"";"";"";22;"6m";0;"0";"read, not understood"
4274;"09:20:53";1;0;"professional school";0;"Brazil";"";"";"";"";"";58;"3m";1;"1-2";"read, understood"
4275;"09:20:53";0;0;"graduate school";0;"India";"";"";"";"";"";22;"none";1;"6+";"read, understood"
4290;"09:20:53";0;0;"college";0;"United States";"";"";"";"";"";35;"more";1;"0";"read, understood"
4291;"09:20:53";0;0;"postdoctoral";1;"Canada";"United States";"";"";"";"";66;"more";1;"0";"read, understood"
4292;"09:20:53";0;0;"college";0;"India";"";"";"";"";"";34;"none";0;"0";"read, not understood"
4302;"09:20:53";0;0;"graduate school";0;"Russian Federation";"";"";"";"";"";18;"3m";1;"0";"read, understood"
4315;"09:20:53";0;0;"graduate school";1;"United States";"Italy";"United States";"";"";"";52;"more";1;"0";"read, understood"
4332;"09:20:53";0;0;"college";0;"Canada";"";"";"";"";"";22;"none";1;"1-2";"read, not understood"
4342;"09:20:53";0;0;"college";0;"United States";"";"";"";"";"";61;"3m";1;"";""
