Country,Random Session,numViz,edits,edit type,any duplication of other user's code,Length,Notes
India,7,7,4,small edits ,FALSE,15,swapSort
India,8,8,5,"small edits, delete comments, add comments",FALSE,31,number guessing
India,9,8,7,"add or remove debugging output, replace",FALSE,8 to 11,"factorise, factorial"
India,10,3,2,small fix,FALSE,4 to 5,while loop
India,11,1,0,,FALSE,2,single print
India,12,9,7,replace or small modify,TRUE,1,"single prints, simple loop"
India,13,3,2,replace,TRUE,4 to 5,"for loop sum, for loop find smallest, while loop print"
India,14,2,1,small edit,FALSE,6,simple function for array
India,15,2,1,small edit,FALSE,5,for loop with printing
India,16,1,0,,TRUE,1,single print for hex
India,17,2,1,smalle edit: get user input,FALSE,3,print loop
India,18,1,0,,FALSE,6,simple example function with  bug
India,19,1,0,,TRUE,1,simple input
India,20,2,0,,TRUE,2,print math.floor
India,21,,,,,,
India,22,,,,,,
India,23,,,,,,
India,24,,,,,,
India,25,,,,,,
Russia,1,50,6,"big expand, smaller edits",FALSE,9 to 12,user input with while loop
Russia,2,1,,,FALSE,2,***Missing Data?***
Russia,3,2,1,small edits,FALSE,16,two different for loops with if statements
Russia,4,10,0,,FALSE,10,while and for loops over lists with user input
Russia,5,1,,,FALSE,16,***Missing Data?***
Russia,6,1,0,,FALSE,11,neseted loops with lists
Russia,7,14,,,FALSE,13,***Missing Data?***
Russia,8,12,6,"small edits, turn into function",FALSE,1 to 6,split and enumarte
Russia,9,2,1,change test parameters,FALSE,15,findroot3
Russia,10,1,,,FALSE,6,***Missing Data?***
Russia,11,1,,,FALSE,28,***Missing Data?***
Russia,12,3,2,small edits,FALSE,27,near_golden
Russia,13,3,2,add variables needed,FALSE,13,tracking interest rate
Russia,14,5,4,"small changes, add test case, modifications",FALSE,6,simple list test
Russia,15,1,0,,FALSE,2,create gui
Russia,16,5,4,small additions,FALSE,5 to 11,simple array
Russia,17,1,0,,TRUE,11,simple array vs tuple loops
Russia,18,39,2,small edits,FALSE,18,while loop on user input with for loops (looks a little comlex)
Russia,19,8,7,small to medium edits,FALSE,16 to 20,checkio ??? Maybe hash value
Russia,20,1,0,,TRUE,11,tuple list processsing
Russia,21,3,2,replace,TRUE,8 to 60,"recursive factorial, staff class, person class"
Russia,22,5,4,many replace some small modifications,FALSE,6 to 11,"lamda fn, sum_every_other_number, fibonacci, "
Russia,23,1,0,,FALSE,8,getOneMillion (loop)
Russia,24,2,0,,FALSE,22,accumulator
Russia,25,1,0,,TRUE,17,Fibbonnacci (with mem table)
